frame;x;y;class
967;1123;317;
968;1123;317;
969;1122;316;
970;1123;316;
971;1123;316;
972;1123;315;
973;1123;315;
974;1121;316;
975;1115;316;
976;1114;317;
977;1109;319;
978;1107;319;
979;1092;321;
980;1091;320;
981;1091;318;
982;1091;317;
983;1092;314;
984;1092;313;
985;1092;313;
986;1092;314;
987;1093;315;
988;1093;313;
989;1069;314;
990;1065;313;
991;1062;311;
992;1059;311;
993;1053;310;
994;1047;308;
995;1045;308;
996;1043;309;
997;1042;309;
998;1042;309;
999;1042;309;
1000;1041;309;
