frame;x;y;class
1;493;229;
2;493;230;
3;495;232;
4;497;234;
5;499;235;
6;502;236;
7;506;237;
8;509;238;
9;512;239;
10;514;240;
11;516;242;
12;519;244;
13;521;246;
14;524;248;
15;527;249;
16;530;250;
17;533;251;
18;535;251;
19;537;252;
20;539;252;
21;541;253;
22;542;253;
23;544;253;
24;546;253;
25;548;253;
26;549;253;
27;550;253;
28;551;253;
29;552;253;
30;553;252;
31;554;250;
32;555;248;
33;557;245;
34;558;242;
35;559;240;
36;560;238;
37;561;236;
38;562;235;
39;562;234;
40;562;233;
41;561;232;
42;560;231;
43;560;229;
44;560;228;
45;560;227;
46;560;226;
47;560;225;
48;560;224;
49;560;224;
50;560;224;
51;560;224;
52;560;224;
53;560;224;
54;559;224;
55;559;225;
56;559;226;
57;559;227;
58;560;228;
59;561;229;
60;561;231;
61;561;233;
62;562;234;
63;563;235;
64;564;236;
65;566;237;
66;567;238;
67;568;238;
68;569;239;
69;570;239;
70;571;239;
71;572;239;
72;573;239;
73;574;238;
74;575;237;
75;576;236;
76;577;235;
77;578;234;
78;579;233;
79;580;232;
80;581;230;
81;582;229;
82;583;228;
83;585;227;
84;588;225;
85;590;223;
86;592;222;
87;595;221;
88;598;220;
89;600;219;
90;602;218;
91;604;217;
92;606;216;
93;607;215;
94;608;214;
95;609;213;
96;610;212;
97;611;211;
98;612;210;
99;614;208;
100;615;206;
101;616;205;
102;616;203;
103;617;201;
104;618;199;
105;619;197;
106;619;195;
107;619;193;
108;619;191;
109;619;189;
110;618;187;
111;618;185;
112;617;183;
113;617;181;
114;617;179;
115;616;178;
116;615;177;
117;614;176;
118;613;176;
119;612;176;
120;611;176;
121;610;176;
122;610;176;
123;610;176;
124;610;176;
125;610;176;
126;610;177;
127;610;178;
128;610;179;
129;610;180;
130;610;181;
131;610;181;
132;610;182;
133;610;182;
134;610;183;
135;610;184;
136;611;184;
137;611;185;
138;611;186;
139;611;187;
140;611;188;
141;612;189;
142;613;189;
143;614;190;
144;615;191;
145;616;192;
146;617;193;
147;619;194;
148;621;195;
149;623;195;
150;625;196;
151;627;197;
152;628;198;
153;629;199;
154;630;200;
155;631;201;
156;632;201;
157;632;201;
158;632;202;
159;632;202;
160;632;203;
161;632;203;
162;632;203;
163;632;204;
164;632;204;
165;632;204;
166;632;204;
167;632;205;
168;632;205;
169;632;205;
170;632;206;
171;632;207;
172;632;207;
173;632;207;
174;632;207;
175;632;207;
176;631;207;
177;630;207;
178;630;207;
179;630;207;
180;630;207;
181;630;207;
182;630;207;
183;630;207;
184;630;207;
185;630;207;
186;630;207;
187;630;207;
188;630;207;
189;630;206;
190;630;206;
191;630;205;
192;630;205;
193;630;205;
194;630;205;
195;630;205;
196;630;205;
197;629;205;
198;628;205;
199;628;205;
200;628;205;
201;628;206;
202;628;207;
203;628;207;
204;628;207;
205;628;208;
206;628;209;
207;628;210;
208;628;211;
209;627;212;
210;627;213;
211;627;214;
212;627;215;
213;627;215;
214;627;215;
215;627;215;
216;627;215;
217;627;214;
218;626;214;
219;625;214;
220;624;214;
221;623;214;
222;622;214;
223;622;214;
224;622;214;
225;622;214;
226;623;214;
227;624;215;
228;625;215;
229;626;215;
230;627;215;
231;628;215;
232;628;215;
233;629;215;
234;630;215;
235;630;215;
236;631;215;
237;632;214;
238;633;213;
239;634;212;
240;635;211;
241;636;210;
242;637;210;
243;638;210;
244;639;210;
245;640;210;
246;641;210;
247;642;210;
248;643;210;
249;644;210;
250;645;211;
251;646;212;
252;647;213;
253;648;214;
254;649;215;
255;650;216;
256;651;217;
257;652;218;
258;654;220;
259;655;222;
260;657;224;
261;659;226;
262;660;227;
263;662;228;
264;664;228;
265;667;228;
266;669;227;
267;671;226;
268;674;225;
269;676;224;
270;678;222;
271;681;220;
272;683;218;
273;685;216;
274;687;214;
275;688;212;
276;689;209;
277;690;206;
278;691;203;
279;692;200;
280;693;197;
281;694;194;
282;694;192;
283;694;189;
284;693;186;
285;692;184;
286;691;183;
287;690;182;
288;689;181;
289;688;181;
290;687;181;
291;686;181;
292;685;182;
293;684;183;
294;683;183;
295;682;184;
296;682;185;
297;682;186;
298;682;187;
299;682;187;
300;682;188;
301;682;188;
302;682;188;
303;682;188;
304;682;189;
305;682;189;
306;682;189;
307;682;189;
308;683;189;
309;683;189;
310;683;189;
311;683;189;
312;683;189;
313;684;189;
314;684;189;
315;685;189;
316;685;189;
317;685;189;
318;685;189;
319;685;189;
320;685;189;
321;685;189;
322;685;189;
323;685;189;
324;685;189;
325;685;189;
326;685;189;
327;686;189;
328;686;189;
329;686;189;
330;686;189;
331;686;189;
332;686;189;
333;686;189;
334;686;189;
335;686;189;
336;686;188;
337;686;188;
338;686;187;
339;686;187;
340;686;187;
341;686;187;
342;686;187;
343;686;187;
344;686;187;
345;687;187;
346;687;187;
347;687;187;
348;687;187;
349;687;187;
350;687;187;
351;687;187;
352;687;187;
353;687;187;
354;687;187;
355;687;187;
356;687;187;
357;687;187;
358;687;187;
359;687;187;
360;687;187;
361;687;187;
362;687;187;
363;687;187;
364;687;187;
365;687;187;
366;686;187;
367;685;187;
368;685;187;
369;685;187;
370;685;187;
371;685;187;
372;685;187;
373;685;187;
374;685;187;
375;685;187;
376;685;187;
377;685;187;
378;685;187;
379;685;187;
380;685;187;
381;685;187;
382;685;187;
383;685;187;
384;685;187;
385;684;187;
386;683;187;
387;683;187;
388;683;187;
389;683;187;
390;683;187;
391;683;187;
392;683;187;
393;683;187;
394;683;187;
395;683;187;
396;683;187;
397;683;187;
398;683;186;
399;683;185;
400;683;185;
401;682;185;
402;682;185;
403;682;185;
404;682;185;
405;682;185;
406;682;185;
407;682;185;
408;682;185;
409;682;184;
410;682;184;
411;682;184;
412;682;184;
413;681;184;
414;681;184;
415;681;184;
416;681;184;
417;681;184;
418;681;184;
419;681;184;
420;681;184;
421;681;184;
422;681;184;
423;681;184;
424;681;184;
425;681;184;
426;681;184;
427;681;184;
428;680;184;
429;679;184;
430;679;184;
431;679;184;
432;679;184;
433;679;184;
434;679;184;
435;679;184;
436;679;184;
437;679;184;
438;679;183;
439;680;183;
440;680;183;
441;680;183;
442;680;183;
443;680;183;
444;680;183;
445;680;183;
446;680;183;
447;680;183;
448;680;183;
449;680;183;
450;680;183;
451;680;183;
452;680;183;
453;680;183;
454;680;183;
455;680;183;
456;680;183;
457;680;183;
458;680;183;
459;680;183;
460;680;183;
461;680;183;
462;680;183;
463;680;183;
464;680;183;
465;680;183;
466;680;183;
467;680;183;
468;680;183;
469;680;183;
470;680;183;
471;680;183;
472;680;183;
473;680;183;
474;680;183;
475;680;183;
476;680;183;
477;680;183;
478;680;183;
479;680;183;
480;680;183;
481;680;183;
482;680;183;
483;680;183;
484;680;183;
485;680;183;
486;680;183;
487;680;183;
488;680;183;
489;680;183;
490;680;183;
491;680;183;
492;680;182;
493;680;181;
494;680;180;
495;680;180;
496;680;180;
497;680;180;
498;680;180;
499;680;180;
500;680;180;
501;680;180;
502;680;180;
503;680;180;
504;680;180;
505;680;180;
506;680;180;
507;679;179;
508;679;179;
509;679;179;
510;678;179;
511;678;179;
512;678;179;
513;678;179;
514;677;179;
515;677;178;
516;677;178;
517;677;178;
518;677;178;
519;677;178;
520;677;178;
521;677;177;
522;677;177;
523;677;177;
524;677;177;
525;677;177;
526;677;177;
527;677;177;
528;677;177;
529;677;177;
530;677;177;
531;677;177;
532;677;177;
533;677;177;
534;677;177;
535;677;177;
536;677;177;
537;677;177;
538;677;177;
539;678;177;
540;678;176;
541;679;175;
542;679;175;
543;679;175;
544;679;175;
545;679;175;
546;679;175;
547;679;175;
548;679;175;
549;679;175;
550;679;175;
551;679;175;
552;679;175;
553;679;175;
554;679;175;
555;679;175;
556;678;175;
557;678;175;
558;678;175;
559;677;175;
560;677;175;
561;677;175;
562;676;175;
563;676;175;
564;675;175;
565;675;175;
566;674;176;
567;674;176;
568;674;176;
569;674;177;
570;674;177;
571;674;177;
572;674;177;
573;674;177;
574;674;177;
575;674;177;
576;674;177;
577;674;177;
578;674;177;
579;674;177;
580;674;177;
581;674;177;
582;674;177;
583;673;177;
584;673;177;
585;673;177;
586;673;177;
587;673;177;
588;673;177;
589;673;177;
590;673;177;
591;673;177;
592;673;177;
593;673;177;
594;673;177;
595;673;177;
596;673;177;
597;673;177;
598;673;177;
599;673;177;
600;673;177;
601;673;177;
602;673;177;
603;674;177;
604;674;177;
605;674;177;
606;674;177;
607;674;177;
608;674;177;
609;674;177;
610;674;177;
611;674;177;
612;674;177;
613;674;177;
614;674;177;
615;674;177;
616;674;177;
617;674;177;
618;674;178;
619;674;178;
620;674;178;
621;674;178;
622;674;178;
623;673;178;
624;673;178;
625;673;178;
626;673;178;
627;673;178;
628;673;178;
629;673;178;
630;673;178;
631;673;178;
632;673;178;
633;673;178;
634;673;178;
635;673;178;
636;673;178;
637;673;178;
